ジャンル,キーワード,プロンプト
グルメ・レストラン,料理 食事 レストラン カフェ メニュー 味,"🍽️ グルメ記事専用プロンプト

読者が実際に行きたくなるグルメ情報を提供しましょう！

## 🎯 記事構成
**【導入】**：お店の魅力を一言で表現
**【基本情報】**：
・店舗名・住所・電話番号
・営業時間・定休日・アクセス方法
・価格帯（ランチ/ディナー）
・予約の可否・混雑状況

**【メニュー詳細】**：
・おすすめメニューとその理由
・実際の価格（税込み表示）
・味の特徴・食感・見た目
・ボリューム感・コストパフォーマンス

**【店内環境】**：
・雰囲気・席数・客層
・デート向け/ファミリー向け/一人利用の適性
・特別な設備やサービス

**【実用情報】**：
・ベストな来店時間
・駐車場の有無
・子連れ対応
・支払い方法

**【総評とおすすめ度】**：
・どんな人におすすめか
・他店との違いや特徴
・リピートしたいかの率直な感想"

観光・散策,観光 散歩 公園 神社 寺 山 川 景色 名所,"🚶 観光・散策記事専用プロンプト

読者が実際に足を運びたくなる魅力的な場所情報を！

## 🎯 記事構成
**【導入】**：その場所の最大の魅力をひと言で

**【基本情報】**：
・場所名・住所・アクセス方法
・営業時間・入場料・駐車場情報
・最寄り駅からの距離・時間

**【見どころ詳細】**：
・主要な見どころ3つ以上
・それぞれの特徴と撮影スポット
・季節による違いや変化
・歴史的背景や文化的意義

**【散策ルート】**：
・おすすめの回り方・所要時間
・体力レベル（初心者/中級者/上級者）
・途中の休憩ポイント
・併せて訪れたい周辺スポット

**【実用アドバイス】**：
・最適な訪問時間帯・季節
・持参すべき物・服装
・混雑を避けるコツ
・注意点・マナー

**【まとめ】**：
・この場所の一番の価値
・どんな人におすすめか
・次回訪れたい理由"

ショッピング,買い物 店 商品 価格 セール ドラッグストア コンビニ,"🛍️ ショッピング記事専用プロンプト

読者の購買判断に役立つ実用的な情報を提供！

## 🎯 記事構成
**【導入】**：今回の買い物の目的と成果

**【店舗情報】**：
・店舗名・住所・営業時間
・アクセス方法・駐車場
・店舗の規模・特徴
・主要な客層

**【商品詳細】**：
・購入商品名・ブランド
・価格（定価・セール価格・他店比較）
・商品の特徴・品質・使用感
・サイズ・カラーバリエーション

**【購入体験】**：
・店員の対応・サービス品質
・レジ待ち時間・混雑状況
・支払い方法・ポイント制度
・特典やサービス

**【使用レビュー】**：
・実際の使用感・効果
・良い点・改善点
・コストパフォーマンス
・リピート購入の意向

**【おすすめ度】**：
・どんな人におすすめか
・購入のベストタイミング
・注意点や選び方のコツ"

交通・駅,駅 電車 バス 交通 アクセス 時刻表 路線,"🚃 交通・アクセス記事専用プロンプト

読者の移動を快適にする実用的な交通情報を！

## 🎯 記事構成
**【導入】**：この路線・駅の利便性や特徴

**【基本情報】**：
・駅名・路線名・運営会社
・停車する列車種別
・1日の利用者数・規模
・駅周辺の主要施設

**【アクセス詳細】**：
・主要駅からの所要時間・乗換回数
・運賃情報（IC・切符）
・始発・終電時刻
・ラッシュ時の混雑状況

**【駅施設・サービス】**：
・改札の数・構造
・エレベーター・エスカレーター
・トイレ・売店・待合室
・バリアフリー対応

**【周辺情報】**：
・駅前の商業施設・飲食店
・バス停・タクシー乗り場
・駐車場・駐輪場
・観光スポットへのアクセス

**【利用のコツ】**：
・混雑を避ける時間帯
・乗車位置の推奨
・乗り換えのスムーズなルート
・料金を安くする方法

**【まとめ】**：
・この駅・路線の価値
・どんな利用目的に最適か"

イベント・体験,イベント 体験 ワークショップ 展示 祭り コンサート,"🎪 イベント・体験記事専用プロンプト

読者が参加したくなるイベント情報を魅力的に！

## 🎯 記事構成
**【導入】**：イベントの魅力と参加の価値

**【イベント概要】**：
・イベント名・開催場所・期間
・主催者・後援・協力団体
・参加費用・申込方法
・対象者・定員

**【内容詳細】**：
・プログラム・タイムスケジュール
・主要な見どころ・体験内容
・出演者・講師・ゲスト情報
・特別企画・限定要素

**【参加体験】**：
・実際の雰囲気・参加者の様子
・スタッフの対応・運営状況
・会場の設備・環境
・写真撮影の可否・ルール

**【実用情報】**：
・アクセス方法・最寄り駅
・駐車場・交通規制
・持参すべき物・服装
・食事・飲み物の手配

**【参加価値】**：
・得られる知識・経験・感動
・ネットワーキングの機会
・記念品・お土産
・次回開催の見込み

**【おすすめ度】**：
・どんな人に向いているか
・参加のベストタイミング
・事前準備のアドバイス"

その他・日常,日常 生活 雑記 思い出 日記 個人的,"📝 日常・雑記記事専用プロンプト

読者に共感してもらえる日常の体験を記事に！

## 🎯 記事構成
**【導入】**：今日の出来事や気づきの概要

**【体験の詳細】**：
・具体的な状況・場面設定
・登場人物・関係性
・時系列での出来事の流れ
・その時の気持ちや感情

**【学んだこと・気づき】**：
・この体験から得た教訓
・新しい発見や視点
・他の人にも役立ちそうなポイント
・自分の成長や変化

**【読者への価値提供】**：
・似た経験をした人への共感
・これから同じ体験をする人へのアドバイス
・日常に取り入れられるヒント
・考えるきっかけになる問いかけ

**【普遍的なテーマとの接続】**：
・人間関係・仕事・健康・趣味との関連
・季節や時期特有の要素
・社会的な背景・トレンド
・文化的・地域的な特色

**【まとめ】**：
・今日の体験の意味や価値
・読者への感謝やメッセージ
・今後の目標や期待"
